Fecha;NT_IPC;NT_IPP;C_IPC;C_IPP;FMI;ITCR_C
1/12/1986;134.88 ;105.49 ;136.52 ;106.86 ;110.81 ;
1/01/1987;132.14 ;102.53 ;136.50 ;105.87 ;113.75 ;
1/02/1987;132.79 ;102.38 ;137.34 ;105.63 ;115.78 ;
1/03/1987;132.46 ;103.01 ;136.65 ;105.96 ;116.58 ;
1/04/1987;133.73 ;103.96 ;138.08 ;106.88 ;119.53 ;
1/05/1987;133.89 ;104.76 ;138.54 ;107.85 ;119.88 ;
1/06/1987;134.04 ;104.66 ;138.34 ;107.52 ;118.93 ;
1/07/1987;134.24 ;104.51 ;138.41 ;107.28 ;117.56 ;
1/08/1987;136.72 ;105.76 ;140.73 ;108.42 ;117.53 ;
1/09/1987;138.68 ;107.30 ;142.84 ;110.00 ;119.16 ;
1/10/1987;138.49 ;106.91 ;142.50 ;109.53 ;118.95 ;
1/11/1987;140.11 ;108.23 ;144.74 ;111.32 ;121.67 ;
1/12/1987;140.35 ;107.82 ;144.99 ;110.96 ;123.63 ;
1/01/1988;137.61 ;104.69 ;142.09 ;107.64 ;122.38 ;
1/02/1988;134.44 ;103.77 ;138.45 ;106.45 ;120.50 ;
1/03/1988;135.02 ;103.95 ;138.83 ;106.41 ;121.92 ;
1/04/1988;135.23 ;105.55 ;138.62 ;107.76 ;122.22 ;
1/05/1988;136.15 ;106.44 ;139.39 ;108.61 ;122.61 ;
1/06/1988;134.85 ;105.09 ;137.82 ;107.21 ;120.69 ;
1/07/1988;134.82 ;104.11 ;137.07 ;105.85 ;118.83 ;
1/08/1988;137.28 ;104.45 ;139.35 ;106.03 ;119.34 ;
1/09/1988;135.11 ;102.79 ;138.14 ;104.89 ;120.96 ;
1/10/1988;137.35 ;103.35 ;140.59 ;105.77 ;123.57 ;
1/11/1988;140.37 ;105.49 ;143.84 ;108.17 ;126.80 ;
1/12/1988;138.79 ;104.27 ;142.73 ;107.34 ;126.74 ;
1/01/1989;136.58 ;102.46 ;140.34 ;105.21 ;125.65 ;
1/02/1989;134.89 ;102.07 ;138.49 ;104.73 ;126.26 ;
1/03/1989;134.88 ;101.43 ;138.33 ;104.17 ;124.22 ;
1/04/1989;135.63 ;101.74 ;138.91 ;104.48 ;125.96 ;
1/05/1989;133.53 ;100.84 ;136.76 ;103.52 ;125.32 ;
1/06/1989;133.97 ;100.76 ;136.85 ;103.07 ;125.23 ;
1/07/1989;140.21 ;105.03 ;142.78 ;106.98 ;126.99 ;
1/08/1989;142.93 ;105.23 ;144.90 ;106.80 ;126.40 ;
1/09/1989;143.92 ;106.06 ;145.93 ;107.71 ;126.32 ;
1/10/1989;145.70 ;107.47 ;148.38 ;109.68 ;129.05 ;
1/11/1989;145.13 ;107.42 ;148.60 ;110.20 ;130.23 ;
1/12/1989;146.89 ;109.55 ;151.03 ;112.76 ;133.79 ;
1/01/1990;150.54 ;111.35 ;154.28 ;114.35 ;137.07 ;130.61 
1/02/1990;151.05 ;112.25 ;154.36 ;114.78 ;139.17 ;131.97 
1/03/1990;152.60 ;112.66 ;155.23 ;114.73 ;139.15 ;131.00 
